uid,seq_len,true_ecs,true_l1,hitec_pred_ecs,hitec_top1_prob,hitec_per_protein_f1,hitec_hit,contactec_pred_ecs,contactec_top5,contactec_per_protein_f1,contactec_hit,case_status
A0A455LN84,201,1.5.1.39,1,1.5.1.39,1.0,1.0,True,1.5.1.39,1.5.1.39:0.6743;1.5.1.36:0.1470;1.6.5.2:0.0449;5.3.1.6:0.0117;1.5.1.38:0.0100,1.0,True,both_correct
P0DUF9,1205,2.1.1.72,2,4.2.1.165,0.0011534325312823057,0.0,False,2.7.7.7,2.7.7.7:0.6865;6.6.1.2:0.0001;2.4.1.5:0.0000;3.1.27.2:0.0000;2.1.1.173:0.0000,0.0,False,both_wrong
A0A455LLX4,198,1.5.1.39,1,1.5.1.39,1.0,1.0,True,1.5.1.39,1.5.1.39:0.7201;1.5.1.36:0.1323;1.6.5.2:0.0357;1.11.1.15:0.0139;5.3.1.6:0.0132,1.0,True,both_correct
A0A6G9KIF9,410,1.13.11.52,1,1.13.11.52,1.0,1.0,True,1.13.11.52,1.13.11.52:0.9976;1.8.5.1:0.0032;1.13.11.11:0.0010;1.13.11.63:0.0006;1.13.99.1:0.0002,1.0,True,both_correct
C0HLV0,27,3.2.1.4,3,3.2.1.4,0.9999998807907104,1.0,True,,1.15.1.1:0.0764;3.2.1.14:0.0667;1.11.1.7:0.0403;1.4.3.2:0.0320;3.1.1.4:0.0289,0.0,False,hitec_only
P0DUM0,700,4.3.1.24,4,4.3.1.24,0.9787335991859436,1.0,True,4.3.1.24;5.4.3.10,4.3.1.24:0.9990;5.4.3.10:0.6112;4.3.1.25:0.0609;2.5.1.48:0.0010;4.3.1.3:0.0007,0.6666666666666666,True,both_correct
A0A345BJN2,218,3.1.1.1,3,3.1.1.1,0.9999984502792358,1.0,True,,4.1.1.1:0.0257;3.1.3.48:0.0148;4.6.1.1:0.0056;2.5.1.18:0.0014;1.11.1.15:0.0013,0.0,False,hitec_only
A0A345BJN1,723,4.3.1.24,4,4.3.1.24,0.999994158744812,1.0,True,4.3.1.24;5.4.3.10,4.3.1.24:0.9988;5.4.3.10:0.9735;4.3.1.25:0.2022;2.5.1.48:0.0128;4.3.1.3:0.0012,0.6666666666666666,True,both_correct
A0A2U7XUE3,209,5.5.1.6,5,5.5.1.6,1.0,1.0,True,5.5.1.6,5.5.1.6:1.0000;5.2.1.8:0.0000;5.3.1.9:0.0000;5.3.99.3:0.0000;5.3.99.6:0.0000,1.0,True,both_correct
A0A2U7XUH7,214,5.5.1.6,5,5.5.1.6,1.0,1.0,True,5.5.1.6,5.5.1.6:1.0000;5.3.4.1:0.0076;4.2.1.78:0.0000;5.3.99.6:0.0000;1.8.98.2:0.0000,1.0,True,both_correct
P0DUN5,98,3.1.1.4,3,3.1.1.4,0.9999978542327881,1.0,True,3.1.1.4,3.1.1.4:0.9953;3.2.1.17:0.0074;3.1.27.5:0.0021;3.1.1.32:0.0015;3.4.24.50:0.0007,1.0,True,both_correct
P0DQQ0,121,3.1.1.4,3,3.1.1.4,1.0,1.0,True,3.1.1.4,3.1.1.4:1.0000;3.1.27.5:0.0000;3.5.4.38:0.0000;3.1.26.1:0.0000;2.8.2.21:0.0000,1.0,True,both_correct
P0DQP9,78,3.1.1.4,3,3.1.1.4,1.0,1.0,True,3.1.1.4,3.1.1.4:0.9999;3.1.27.5:0.0033;3.2.1.17:0.0002;2.5.1.18:0.0001;3.4.23.1:0.0001,1.0,True,both_correct
P0DUN0,106,3.1.1.4,3,3.1.1.4,1.0,1.0,True,3.1.1.4,3.1.1.4:1.0000;3.1.27.5:0.0000;3.4.24.72:0.0000;3.2.1.17:0.0000;3.4.24.50:0.0000,1.0,True,both_correct
P0DUN1,123,3.1.1.4,3,3.1.1.4,1.0,1.0,True,3.1.1.4,3.1.1.4:1.0000;3.1.27.5:0.0000;3.1.26.4:0.0000;3.1.26.1:0.0000;3.4.24.72:0.0000,1.0,True,both_correct
P0DQP6,39,3.1.1.4,3,3.1.1.4,1.0,1.0,True,,3.6.3.14:0.1503;6.3.1.2:0.0813;4.1.1.39:0.0744;1.4.3.2:0.0317;3.1.1.1:0.0306,0.0,False,hitec_only
P0DUN2,123,3.1.1.4,3,3.1.1.4,1.0,1.0,True,3.1.1.4,3.1.1.4:1.0000;3.1.27.5:0.0000;3.2.1.17:0.0000;3.5.4.38:0.0000;3.1.26.1:0.0000,1.0,True,both_correct
A0A5S9I252,386,4.2.3.104;4.2.3.137;4.2.3.182;4.2.3.57,4,4.2.3.104;4.2.3.157;4.2.3.182;4.2.3.57,0.9999997615814209,0.75,True,,4.2.3.9:0.1660;4.2.3.165:0.1208;4.2.3.164:0.0463;4.2.3.91:0.0458;4.2.3.127:0.0427,0.0,False,hitec_only
